url,name,email,phone,country,docNumber,docCounter
https://ted.europa.eu/udl?uri=TED:NOTICE:414512-2020:TEXT:EN:HTML&src=0, JGCOM,,, France,2020/S 172-414512,1
https://ted.europa.eu/udl?uri=TED:NOTICE:414512-2020:TEXT:EN:HTML&src=0, JG COM,,, France,2020/S 172-414512,1
https://ted.europa.eu/udl?uri=TED:NOTICE:398540-2020:TEXT:EN:HTML&src=0, De Boer Structures bv,,, Netherlands,2020/S 164-398540,2
https://ted.europa.eu/udl?uri=TED:NOTICE:398417-2020:TEXT:EN:HTML&src=0," TenTex line, s.r.o.",,, Czechia,2020/S 164-398417,3
https://ted.europa.eu/udl?uri=TED:NOTICE:392762-2020:TEXT:EN:HTML&src=0, MDSC Systems OÜ,,, Estonia,2020/S 162-392762,4
https://ted.europa.eu/udl?uri=TED:NOTICE:356934-2020:TEXT:EN:HTML&src=0, Scharrer Konfektions GmbH & Co. KG, a.scharrer@scharrer-konfektion.de, +49 8593 / 9008-11, Germany,2020/S 145-356934,5
https://ted.europa.eu/udl?uri=TED:NOTICE:354319-2020:TEXT:EN:HTML&src=0, M. Schall GmbH & Co. KG, schall@mschall.de, +49 2421/975547, Germany,2020/S 144-354319,6
https://ted.europa.eu/udl?uri=TED:NOTICE:351628-2020:TEXT:EN:HTML&src=0, , , , ,2020/S 143-351628,7
https://ted.europa.eu/udl?uri=TED:NOTICE:339111-2020:TEXT:EN:HTML&src=0, , , , ,2020/S 138-339111,8
https://ted.europa.eu/udl?uri=TED:NOTICE:321160-2020:TEXT:EN:HTML&src=0, Zelte Trauner GmbH, office@zelte-trauner.at,, Austria,2020/S 131-321160,9
https://ted.europa.eu/udl?uri=TED:NOTICE:312004-2020:TEXT:EN:HTML&src=0, O.B.Wiik A/S, obw@obwiik.no, +47 64835500, Norway,2020/S 127-312004,10
https://ted.europa.eu/udl?uri=TED:NOTICE:312004-2020:TEXT:EN:HTML&src=0, Hallgruppen AS, post@hallgruppen.no, +47 40005077, Norway,2020/S 127-312004,10
https://ted.europa.eu/udl?uri=TED:NOTICE:303582-2020:TEXT:EN:HTML&src=0, FD Location,,, France,2020/S 124-303582,11
https://ted.europa.eu/udl?uri=TED:NOTICE:276435-2020:TEXT:EN:HTML&src=0, , , , ,2020/S 114-276435,12
https://ted.europa.eu/udl?uri=TED:NOTICE:261624-2020:TEXT:EN:HTML&src=0," Luing Pyrex, spol. s.r.o.", velkosklad@luingpyrex.cz, +420 597317111, Czechia,2020/S 108-261624,13
https://ted.europa.eu/udl?uri=TED:NOTICE:218496-2020:TEXT:EN:HTML&src=0, , , , ,2020/S 091-218496,14
https://ted.europa.eu/udl?uri=TED:NOTICE:197550-2020:TEXT:EN:HTML&src=0, M-Group srl,,, Italy,2020/S 083-197550,15
https://ted.europa.eu/udl?uri=TED:NOTICE:197550-2020:TEXT:EN:HTML&src=0, Picchi srl,,, Italy,2020/S 083-197550,15
https://ted.europa.eu/udl?uri=TED:NOTICE:195973-2020:TEXT:EN:HTML&src=0, Vignaut location,,, France,2020/S 083-195973,16
https://ted.europa.eu/udl?uri=TED:NOTICE:195973-2020:TEXT:EN:HTML&src=0, Vignaut Location,,, France,2020/S 083-195973,16
https://ted.europa.eu/udl?uri=TED:NOTICE:195973-2020:TEXT:EN:HTML&src=0, Vignaut Location,,, France,2020/S 083-195973,16
https://ted.europa.eu/udl?uri=TED:NOTICE:195740-2020:TEXT:EN:HTML&src=0, , , , ,2020/S 083-195740,17
https://ted.europa.eu/udl?uri=TED:NOTICE:188459-2020:TEXT:EN:HTML&src=0, SIA “LUMINA Group”,,, Latvia,2020/S 080-188459,18
https://ted.europa.eu/udl?uri=TED:NOTICE:188275-2020:TEXT:EN:HTML&src=0, G&G Partners SRL,,, Italy,2020/S 080-188275,19
https://ted.europa.eu/udl?uri=TED:NOTICE:188275-2020:TEXT:EN:HTML&src=0, G&G Partners SRL,,, Italy,2020/S 080-188275,19
https://ted.europa.eu/udl?uri=TED:NOTICE:186250-2020:TEXT:EN:HTML&src=0, Schall M. GmbH & Co. KG,,, Netherlands,2020/S 079-186250,20
https://ted.europa.eu/udl?uri=TED:NOTICE:143418-2020:TEXT:EN:HTML&src=0, BNS Nordic Shelter AB, lena@bnsnordic.com, +46 705-266724, Sweden,2020/S 060-143418,21
https://ted.europa.eu/udl?uri=TED:NOTICE:132303-2020:TEXT:EN:HTML&src=0, , , , ,2020/S 056-132303,22
https://ted.europa.eu/udl?uri=TED:NOTICE:115744-2020:TEXT:EN:HTML&src=0, , , , ,2020/S 049-115744,23
